vs,rikishi,win
土佐ノ海,曙,1
貴ノ浪,曙,1
安芸乃島,曙,1
栃東,曙,1
魁皇,曙,1
栃乃花,曙,1
玉春日,曙,1
武双山,曙,1
出島,曙,1
闘牙,曙,1
和歌乃山,曙,1
小城錦,曙,1
雅山,曙,1
千代大海,曙,0
武蔵丸,曙,0
玉春日,貴乃花,1
栃乃花,貴乃花,1
栃東,貴乃花,0
闘牙,貴乃花,1
土佐ノ海,貴乃花,1
隆乃若,貴乃花,1
魁皇,貴乃花,0
千代大海,貴乃花,0
や,貴乃花,-1.0
や,貴乃花,-1.0
や,貴乃花,-1.0
や,貴乃花,-1.0
や,貴乃花,-1.0
や,貴乃花,-1.0
や,貴乃花,-1.0
安芸乃島,武蔵丸,1
土佐ノ海,武蔵丸,0
栃乃花,武蔵丸,1
隆乃若,武蔵丸,1
闘牙,武蔵丸,1
貴ノ浪,武蔵丸,0
栃乃洋,武蔵丸,1
栃東,武蔵丸,0
玉春日,武蔵丸,1
小城錦,武蔵丸,1
追風海,武蔵丸,1
肥後ノ海,武蔵丸,1
千代大海,武蔵丸,0
魁皇,武蔵丸,0
曙,武蔵丸,1
貴ノ浪,千代大海,0
闘牙,千代大海,1
土佐ノ海,千代大海,1
玉春日,千代大海,1
隆乃若,千代大海,0
栃東,千代大海,1
武双山,千代大海,1
貴乃花,千代大海,1
魁皇,千代大海,1
安芸乃島,千代大海,1
栃乃花,千代大海,1
出島,千代大海,0
武蔵丸,千代大海,1
曙,千代大海,1
雅山,千代大海,0
栃東,雅山,0
安芸乃島,雅山,0
玉春日,雅山,1
栃乃花,雅山,1
栃乃洋,雅山,1
土佐ノ海,雅山,0
闘牙,雅山,0
小城錦,雅山,1
隆乃若,雅山,0
追風海,雅山,0
肥後ノ海,雅山,1
魁皇,雅山,0
曙,雅山,0
貴ノ浪,雅山,0
千代大海,雅山,1
栃乃花,出島,1
玉春日,出島,1
闘牙,出島,0
貴ノ浪,出島,1
安芸乃島,出島,1
栃乃洋,出島,1
隆乃若,出島,1
魁皇,出島,0
曙,出島,0
土佐ノ海,出島,1
小城錦,出島,1
千代大海,出島,1
追風海,出島,0
旭天鵬,出島,1
栃東,出島,0
闘牙,武双山,1
魁皇,武双山,0
隆乃若,武双山,1
安芸乃島,武双山,0
貴ノ浪,武双山,0
朝乃若,武双山,1
千代大海,武双山,0
曙,武双山,0
栃乃花,武双山,0
玉春日,武双山,0
土佐ノ海,武双山,0
栃東,武双山,0
栃乃洋,武双山,0
追風海,武双山,1
小城錦,武双山,0
隆乃若,魁皇,1
武双山,魁皇,1
貴ノ浪,魁皇,0
土佐ノ海,魁皇,1
曙,魁皇,0
玉春日,魁皇,1
貴乃花,魁皇,1
出島,魁皇,1
千代大海,魁皇,0
栃乃花,魁皇,0
栃東,魁皇,1
雅山,魁皇,1
安芸乃島,魁皇,1
武蔵丸,魁皇,1
和歌乃山,魁皇,1
雅山,栃東,1
隆乃若,栃東,1
貴乃花,栃東,1
曙,栃東,0
玉春日,栃東,1
千代大海,栃東,0
土佐ノ海,栃東,1
武蔵丸,栃東,1
安芸乃島,栃東,1
貴ノ浪,栃東,1
魁皇,栃東,0
武双山,栃東,1
高見盛,栃東,1
貴闘力,栃東,1
出島,栃東,1
千代大海,貴ノ浪,1
曙,貴ノ浪,0
魁皇,貴ノ浪,1
出島,貴ノ浪,0
武双山,貴ノ浪,1
武蔵丸,貴ノ浪,1
栃乃花,貴ノ浪,0
闘牙,貴ノ浪,0
小城錦,貴ノ浪,0
栃東,貴ノ浪,0
玉春日,貴ノ浪,0
追風海,貴ノ浪,1
