vs,rikishi,win
岩木山,朝青龍,1
栃乃洋,朝青龍,0
高見盛,朝青龍,1
玉乃島,朝青龍,1
安美錦,朝青龍,1
雅山,朝青龍,1
旭天鵬,朝青龍,1
琴光喜,朝青龍,1
土佐ノ海,朝青龍,1
旭鷲山,朝青龍,1
若の里,朝青龍,1
武双山,朝青龍,1
魁皇,朝青龍,0
千代大海,朝青龍,1
栃東,朝青龍,0
高見盛,武蔵丸,1
旭天鵬,武蔵丸,0
栃乃洋,武蔵丸,0
安美錦,武蔵丸,1
玉乃島,武蔵丸,0
琴光喜,武蔵丸,1
土佐ノ海,武蔵丸,0
岩木山,武蔵丸,0
栃乃洋,千代大海,1
闘牙,千代大海,1
岩木山,千代大海,1
雅山,千代大海,0
旭天鵬,千代大海,1
玉乃島,千代大海,0
高見盛,千代大海,1
若の里,千代大海,1
琴光喜,千代大海,1
安美錦,千代大海,1
武双山,千代大海,0
土佐ノ海,千代大海,1
栃東,千代大海,1
朝青龍,千代大海,0
魁皇,千代大海,0
琴光喜,栃東,1
若の里,栃東,1
闘牙,栃東,1
岩木山,栃東,1
雅山,栃東,1
旭天鵬,栃東,1
安美錦,栃東,1
栃乃洋,栃東,1
玉乃島,栃東,1
武双山,栃東,1
土佐ノ海,栃東,0
高見盛,栃東,1
千代大海,栃東,0
魁皇,栃東,1
朝青龍,栃東,1
闘牙,魁皇,0
岩木山,魁皇,1
土佐ノ海,魁皇,1
旭天鵬,魁皇,1
朝赤龍,魁皇,1
若の里,魁皇,0
栃乃洋,魁皇,0
玉乃島,魁皇,1
武双山,魁皇,1
高見盛,魁皇,1
琴光喜,魁皇,0
旭鷲山,魁皇,1
朝青龍,魁皇,1
栃東,魁皇,0
千代大海,魁皇,1
土佐ノ海,武双山,0
琴光喜,武双山,0
旭天鵬,武双山,1
闘牙,武双山,1
高見盛,武双山,1
栃乃洋,武双山,1
岩木山,武双山,1
安美錦,武双山,0
魁皇,武双山,0
栃東,武双山,0
千代大海,武双山,1
朝青龍,武双山,0
玉乃島,武双山,1
旭鷲山,武双山,1
若の里,武双山,1
安美錦,若の里,1
栃東,若の里,0
玉乃島,若の里,0
高見盛,若の里,0
岩木山,若の里,1
魁皇,若の里,1
琴光喜,若の里,1
千代大海,若の里,0
闘牙,若の里,0
栃乃洋,若の里,1
朝青龍,若の里,0
雅山,若の里,0
土佐ノ海,若の里,1
旭天鵬,若の里,1
武双山,若の里,0
玉乃島,旭天鵬,0
武蔵丸,旭天鵬,1
武双山,旭天鵬,0
魁皇,旭天鵬,0
千代大海,旭天鵬,0
栃東,旭天鵬,0
朝青龍,旭天鵬,0
高見盛,旭天鵬,1
岩木山,旭天鵬,0
琴光喜,旭天鵬,0
安美錦,旭天鵬,0
闘牙,旭天鵬,0
雅山,旭天鵬,1
若の里,旭天鵬,0
