vs,rikishi,win
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
や,貴乃花,-1
朝青竜,武蔵丸,1
追風海,武蔵丸,1
貴ノ浪,武蔵丸,1
琴ノ若,武蔵丸,1
闘牙,武蔵丸,1
肥後ノ海,武蔵丸,1
栃乃洋,武蔵丸,1
土佐ノ海,武蔵丸,1
皇司,武蔵丸,1
旭鷲山,武蔵丸,1
若の里,武蔵丸,0
琴光喜,武蔵丸,1
栃東,武蔵丸,0
魁皇,武蔵丸,0
千代大海,武蔵丸,1
若の里,千代大海,0
琴ノ若,千代大海,1
朝青竜,千代大海,1
追風海,千代大海,1
琴光喜,千代大海,1
貴ノ浪,千代大海,1
闘牙,千代大海,1
栃東,千代大海,1
肥後ノ海,千代大海,1
栃乃洋,千代大海,1
雅山,千代大海,0
玉乃島,千代大海,1
魁皇,千代大海,0
武双山,千代大海,1
武蔵丸,千代大海,0
栃東,武双山,0
貴ノ浪,武双山,1
琴ノ若,武双山,1
栃乃洋,武双山,1
土佐ノ海,武双山,1
追風海,武双山,1
肥後ノ海,武双山,1
朝青竜,武双山,1
闘牙,武双山,0
琴光喜,武双山,0
隆乃若,武双山,1
旭鷲山,武双山,0
若の里,武双山,1
千代大海,武双山,0
魁皇,武双山,1
追風海,雅山,0
若の里,雅山,0
肥後ノ海,雅山,1
闘牙,雅山,0
栃乃洋,雅山,0
琴ノ若,雅山,1
貴ノ浪,雅山,0
皇司,雅山,1
朝青竜,雅山,1
土佐ノ海,雅山,1
千代大海,雅山,1
魁皇,雅山,0
隆乃若,雅山,0
琴光喜,雅山,1
栃東,雅山,0
貴ノ浪,出島,1
朝青竜,出島,1
追風海,出島,1
肥後ノ海,出島,0
旭鷲山,出島,0
栃乃洋,出島,0
や,出島,-1
や,出島,-1
や,出島,-1
や,出島,-1
や,出島,-1
や,出島,-1
や,出島,-1
や,出島,-1
や,出島,-1
琴ノ若,魁皇,1
肥後ノ海,魁皇,1
琴光喜,魁皇,1
若の里,魁皇,1
追風海,魁皇,1
朝青竜,魁皇,1
栃東,魁皇,1
栃乃洋,魁皇,1
貴ノ浪,魁皇,0
隆乃若,魁皇,1
玉乃島,魁皇,1
雅山,魁皇,1
千代大海,魁皇,1
武蔵丸,魁皇,1
武双山,魁皇,0
武双山,栃東,1
闘牙,栃東,1
栃乃洋,栃東,1
朝青竜,栃東,0
若の里,栃東,0
土佐ノ海,栃東,1
魁皇,栃東,0
千代大海,栃東,0
琴光喜,栃東,1
追風海,栃東,1
琴ノ若,栃東,1
隆乃若,栃東,1
武蔵丸,栃東,1
玉乃島,栃東,0
雅山,栃東,1
肥後ノ海,琴光喜,0
栃乃洋,琴光喜,1
魁皇,琴光喜,0
貴ノ浪,琴光喜,1
千代大海,琴光喜,0
若の里,琴光喜,0
朝青竜,琴光喜,0
追風海,琴光喜,1
栃東,琴光喜,0
武双山,琴光喜,1
闘牙,琴光喜,0
武蔵丸,琴光喜,0
土佐ノ海,琴光喜,1
雅山,琴光喜,0
皇司,琴光喜,1
武蔵丸,朝青竜,0
出島,朝青竜,0
千代大海,朝青竜,0
栃東,朝青竜,1
貴ノ浪,朝青竜,1
魁皇,朝青竜,0
琴光喜,朝青竜,1
武双山,朝青竜,0
雅山,朝青竜,0
若の里,朝青竜,1
追風海,朝青竜,1
闘牙,朝青竜,1
琴ノ若,朝青竜,0
隆乃若,朝青竜,1
土佐ノ海,朝青竜,0
千代大海,若の里,1
雅山,若の里,1
闘牙,若の里,1
魁皇,若の里,0
栃東,若の里,1
琴光喜,若の里,1
土佐ノ海,若の里,1
肥後ノ海,若の里,1
栃乃洋,若の里,1
朝青竜,若の里,0
武蔵丸,若の里,1
琴ノ若,若の里,0
武双山,若の里,0
旭鷲山,若の里,0
玉乃島,若の里,0
雅山,追風海,1
武蔵丸,追風海,0
出島,追風海,0
千代大海,追風海,0
魁皇,追風海,0
武双山,追風海,0
琴ノ若,追風海,0
琴光喜,追風海,0
土佐ノ海,追風海,0
栃東,追風海,0
朝青竜,追風海,0
貴ノ浪,追風海,1
栃乃洋,追風海,0
闘牙,追風海,1
肥後ノ海,追風海,1
出島,貴ノ浪,0
武双山,貴ノ浪,0
武蔵丸,貴ノ浪,0
琴光喜,貴ノ浪,0
朝青竜,貴ノ浪,0
千代大海,貴ノ浪,0
雅山,貴ノ浪,1
琴ノ若,貴ノ浪,0
魁皇,貴ノ浪,1
闘牙,貴ノ浪,0
栃乃洋,貴ノ浪,1
追風海,貴ノ浪,0
旭鷲山,貴ノ浪,1
肥後ノ海,貴ノ浪,1
北桜,貴ノ浪,0
魁皇,琴ノ若,0
千代大海,琴ノ若,0
武双山,琴ノ若,0
武蔵丸,琴ノ若,0
肥後ノ海,琴ノ若,0
雅山,琴ノ若,0
追風海,琴ノ若,1
貴ノ浪,琴ノ若,1
安芸乃島,琴ノ若,1
玉春日,琴ノ若,1
栃東,琴ノ若,0
若の里,琴ノ若,1
朝青竜,琴ノ若,1
栃乃洋,琴ノ若,1
海鵬,琴ノ若,1
琴光喜,肥後ノ海,1
魁皇,肥後ノ海,0
雅山,肥後ノ海,0
出島,肥後ノ海,1
琴ノ若,肥後ノ海,1
武蔵丸,肥後ノ海,0
武双山,肥後ノ海,0
若の里,肥後ノ海,0
千代大海,肥後ノ海,0
安芸乃島,肥後ノ海,0
玉春日,肥後ノ海,0
旭天鵬,肥後ノ海,0
北桜,肥後ノ海,0
貴ノ浪,肥後ノ海,0
追風海,肥後ノ海,0
闘牙,栃乃洋,1
琴光喜,栃乃洋,0
栃東,栃乃洋,0
武双山,栃乃洋,0
雅山,栃乃洋,1
出島,栃乃洋,1
武蔵丸,栃乃洋,0
魁皇,栃乃洋,0
若の里,栃乃洋,0
千代大海,栃乃洋,0
貴ノ浪,栃乃洋,0
皇司,栃乃洋,1
追風海,栃乃洋,1
琴ノ若,栃乃洋,0
安芸乃島,栃乃洋,1
栃乃洋,闘牙,0
栃東,闘牙,0
若の里,闘牙,0
雅山,闘牙,1
武蔵丸,闘牙,0
皇司,闘牙,1
千代大海,闘牙,0
旭鷲山,闘牙,0
武双山,闘牙,1
貴ノ浪,闘牙,1
琴光喜,闘牙,1
朝青竜,闘牙,0
玉乃島,闘牙,0
追風海,闘牙,0
小城錦,闘牙,1
皇司,土佐ノ海,1
安芸乃島,土佐ノ海,1
栃栄,土佐ノ海,1
旭鷲山,土佐ノ海,0
武双山,土佐ノ海,0
栃東,土佐ノ海,0
若の里,土佐ノ海,0
武蔵丸,土佐ノ海,0
追風海,土佐ノ海,1
雅山,土佐ノ海,0
栃乃花,土佐ノ海,1
琴竜,土佐ノ海,1
琴光喜,土佐ノ海,0
大善,土佐ノ海,1
朝青竜,土佐ノ海,1
土佐ノ海,皇司,0
栃栄,皇司,0
安芸乃島,皇司,0
隆乃若,皇司,1
玉春日,皇司,1
闘牙,皇司,0
栃乃花,皇司,1
雅山,皇司,0
武蔵丸,皇司,0
千代天山,皇司,0
十文字,皇司,1
栃乃洋,皇司,0
大善,皇司,0
北桜,皇司,0
琴光喜,皇司,0
隆乃若,旭鷲山,0
千代天山,旭鷲山,1
玉春日,旭鷲山,0
土佐ノ海,旭鷲山,1
出島,旭鷲山,1
玉乃島,旭鷲山,0
栃栄,旭鷲山,1
闘牙,旭鷲山,1
栃乃花,旭鷲山,0
武蔵丸,旭鷲山,0
海鵬,旭鷲山,0
武双山,旭鷲山,1
貴ノ浪,旭鷲山,0
若の里,旭鷲山,1
琴竜,旭鷲山,0
旭鷲山,隆乃若,1
栃乃花,隆乃若,1
玉乃島,隆乃若,1
皇司,隆乃若,0
安芸乃島,隆乃若,1
千代天山,隆乃若,1
玉春日,隆乃若,1
栃栄,隆乃若,1
海鵬,隆乃若,1
魁皇,隆乃若,0
武双山,隆乃若,0
栃東,隆乃若,0
雅山,隆乃若,1
朝青竜,隆乃若,0
