vs,rikishi,win
土佐ノ海,朝青龍,1
琴光喜,朝青龍,1
栃乃洋,朝青龍,1
旭天鵬,朝青龍,1
貴ノ浪,朝青龍,1
高見盛,朝青龍,1
玉乃島,朝青龍,1
琴ノ若,朝青龍,1
旭鷲山,朝青龍,0
出島,朝青龍,1
若の里,朝青龍,1
栃東,朝青龍,1
武双山,朝青龍,1
魁皇,朝青龍,0
千代大海,朝青龍,1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
や,武蔵丸,-1
旭天鵬,千代大海,1
貴ノ浪,千代大海,1
高見盛,千代大海,0
旭鷲山,千代大海,1
土佐ノ海,千代大海,1
栃乃洋,千代大海,1
海鵬,千代大海,1
若の里,千代大海,0
玉乃島,千代大海,1
琴ノ若,千代大海,1
栃東,千代大海,1
出島,千代大海,1
魁皇,千代大海,0
武双山,千代大海,0
朝青龍,千代大海,0
栃乃洋,魁皇,0
出島,魁皇,0
玉乃島,魁皇,1
高見盛,魁皇,1
旭天鵬,魁皇,1
貴ノ浪,魁皇,1
若の里,魁皇,1
海鵬,魁皇,1
土佐ノ海,魁皇,1
栃東,魁皇,0
旭鷲山,魁皇,1
琴ノ若,魁皇,1
千代大海,魁皇,1
朝青龍,魁皇,1
武双山,魁皇,0
高見盛,武双山,0
旭天鵬,武双山,0
琴光喜,武双山,1
貴ノ浪,武双山,1
栃乃洋,武双山,0
土佐ノ海,武双山,0
旭鷲山,武双山,1
玉乃島,武双山,0
栃東,武双山,0
海鵬,武双山,1
琴ノ若,武双山,1
若の里,武双山,1
朝青龍,武双山,0
千代大海,武双山,1
魁皇,武双山,1
琴光喜,栃東,1
旭鷲山,栃東,0
土佐ノ海,栃東,1
栃乃洋,栃東,0
高見盛,栃東,1
旭天鵬,栃東,0
貴ノ浪,栃東,0
出島,栃東,1
武双山,栃東,1
魁皇,栃東,1
千代大海,栃東,0
朝青龍,栃東,0
玉乃島,栃東,1
雅山,栃東,1
若の里,栃東,0
貴ノ浪,若の里,1
琴ノ若,若の里,1
旭天鵬,若の里,0
土佐ノ海,若の里,1
琴光喜,若の里,1
旭鷲山,若の里,1
魁皇,若の里,0
千代大海,若の里,1
高見盛,若の里,1
栃乃洋,若の里,0
朝青龍,若の里,0
武双山,若の里,0
雅山,若の里,0
出島,若の里,1
栃東,若の里,1
旭鷲山,出島,1
魁皇,出島,1
琴ノ若,出島,1
琴光喜,出島,1
玉乃島,出島,0
海鵬,出島,1
土佐ノ海,出島,0
栃東,出島,0
貴ノ浪,出島,1
朝青龍,出島,0
栃乃洋,出島,1
千代大海,出島,0
旭天鵬,出島,0
若の里,出島,0
高見盛,出島,0
朝青龍,土佐ノ海,0
海鵬,土佐ノ海,1
栃東,土佐ノ海,0
若の里,土佐ノ海,0
千代大海,土佐ノ海,0
武双山,土佐ノ海,1
出島,土佐ノ海,1
高見盛,土佐ノ海,0
魁皇,土佐ノ海,0
貴ノ浪,土佐ノ海,0
旭天鵬,土佐ノ海,0
旭鷲山,土佐ノ海,0
栃乃洋,土佐ノ海,0
北勝力,土佐ノ海,0
春日王,土佐ノ海,1
千代大海,旭天鵬,0
武双山,旭天鵬,1
若の里,旭天鵬,1
朝青龍,旭天鵬,0
魁皇,旭天鵬,0
栃東,旭天鵬,1
栃乃洋,旭天鵬,0
貴ノ浪,旭天鵬,1
雅山,旭天鵬,1
高見盛,旭天鵬,1
土佐ノ海,旭天鵬,1
玉乃島,旭天鵬,1
出島,旭天鵬,1
武雄山,旭天鵬,1
闘牙,旭天鵬,0
魁皇,栃乃洋,1
雅山,栃乃洋,1
朝青龍,栃乃洋,0
栃東,栃乃洋,1
武双山,栃乃洋,1
千代大海,栃乃洋,0
旭天鵬,栃乃洋,1
旭鷲山,栃乃洋,0
琴ノ若,栃乃洋,0
若の里,栃乃洋,1
出島,栃乃洋,0
武雄山,栃乃洋,1
土佐ノ海,栃乃洋,1
貴ノ浪,栃乃洋,0
安美錦,栃乃洋,0
武双山,高見盛,1
北勝力,高見盛,1
千代大海,高見盛,1
魁皇,高見盛,0
栃東,高見盛,0
朝青龍,高見盛,0
琴ノ若,高見盛,0
土佐ノ海,高見盛,1
若の里,高見盛,0
旭天鵬,高見盛,0
貴ノ浪,高見盛,0
海鵬,高見盛,0
旭鷲山,高見盛,1
春日王,高見盛,0
出島,高見盛,1
栃東,琴光喜,0
朝青龍,琴光喜,0
武双山,琴光喜,0
出島,琴光喜,0
若の里,琴光喜,0
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
や,琴光喜,-1
若の里,貴ノ浪,0
千代大海,貴ノ浪,0
旭鷲山,貴ノ浪,1
武双山,貴ノ浪,0
朝青龍,貴ノ浪,0
魁皇,貴ノ浪,0
栃東,貴ノ浪,1
旭天鵬,貴ノ浪,0
出島,貴ノ浪,0
土佐ノ海,貴ノ浪,1
高見盛,貴ノ浪,1
春日王,貴ノ浪,1
北勝力,貴ノ浪,0
栃乃洋,貴ノ浪,1
玉乃島,貴ノ浪,1
出島,旭鷲山,0
栃東,旭鷲山,1
貴ノ浪,旭鷲山,0
千代大海,旭鷲山,0
五城楼,旭鷲山,1
若の里,旭鷲山,0
武双山,旭鷲山,0
栃乃洋,旭鷲山,1
朝青龍,旭鷲山,1
北勝力,旭鷲山,1
魁皇,旭鷲山,0
土佐ノ海,旭鷲山,1
高見盛,旭鷲山,0
闘牙,旭鷲山,1
玉力道,旭鷲山,1
海鵬,玉乃島,1
隆乃若,玉乃島,1
魁皇,玉乃島,0
琴ノ若,玉乃島,0
出島,玉乃島,1
春日王,玉乃島,1
朝青龍,玉乃島,0
武双山,玉乃島,1
千代大海,玉乃島,0
雅山,玉乃島,0
安美錦,玉乃島,1
旭天鵬,玉乃島,0
栃東,玉乃島,0
琴龍,玉乃島,1
貴ノ浪,玉乃島,0
玉乃島,海鵬,0
土佐ノ海,海鵬,0
雅山,海鵬,1
春日王,海鵬,1
琴ノ若,海鵬,0
出島,海鵬,0
千代大海,海鵬,0
魁皇,海鵬,0
五城楼,海鵬,1
武双山,海鵬,0
玉力道,海鵬,1
高見盛,海鵬,1
蒼樹山,海鵬,0
安美錦,海鵬,0
岩木山,海鵬,0
雅山,琴ノ若,1
若の里,琴ノ若,0
出島,琴ノ若,0
玉乃島,琴ノ若,1
海鵬,琴ノ若,1
安美錦,琴ノ若,1
高見盛,琴ノ若,1
朝青龍,琴ノ若,0
栃乃洋,琴ノ若,1
千代大海,琴ノ若,0
武双山,琴ノ若,0
魁皇,琴ノ若,0
よう司,琴ノ若,1
玉力道,琴ノ若,0
武雄山,琴ノ若,1
琴ノ若,雅山,0
栃乃洋,雅山,0
海鵬,雅山,0
北勝力,雅山,1
岩木山,雅山,1
五城楼,雅山,1
春日王,雅山,1
安美錦,雅山,1
旭天鵬,雅山,0
玉乃島,雅山,1
十文字,雅山,1
闘牙,雅山,1
若の里,雅山,1
栃東,雅山,0
朝赤龍,雅山,1
春日王,北勝力,0
高見盛,北勝力,0
五城楼,北勝力,0
雅山,北勝力,0
玉力道,北勝力,1
岩木山,北勝力,1
和歌乃山,北勝力,1
琴龍,北勝力,0
朝乃若,北勝力,0
旭鷲山,北勝力,0
よう司,北勝力,1
十文字,北勝力,0
貴ノ浪,北勝力,1
土佐ノ海,北勝力,1
蒼樹山,北勝力,0
北勝力,春日王,1
岩木山,春日王,0
玉力道,春日王,1
海鵬,春日王,0
十文字,春日王,0
玉乃島,春日王,0
雅山,春日王,0
五城楼,春日王,0
琴龍,春日王,0
和歌乃山,春日王,0
隆の鶴,春日王,1
貴ノ浪,春日王,0
朝赤龍,春日王,0
高見盛,春日王,1
土佐ノ海,春日王,0
安美錦,隆乃若,0
玉乃島,隆乃若,0
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,隆乃若,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
や,時津海,-1
隆乃若,安美錦,1
和歌乃山,安美錦,1
十文字,安美錦,1
五城楼,安美錦,0
闘牙,安美錦,1
琴ノ若,安美錦,0
武雄山,安美錦,1
雅山,安美錦,0
霜鳥,安美錦,1
よう司,安美錦,1
玉乃島,安美錦,0
皇司,安美錦,1
琴龍,安美錦,1
海鵬,安美錦,1
栃乃洋,安美錦,1
五城楼,玉力道,1
霜鳥,玉力道,1
春日王,玉力道,0
岩木山,玉力道,1
北勝力,玉力道,0
闘牙,玉力道,0
朝赤龍,玉力道,1
安芸乃島,玉力道,1
よう司,玉力道,0
皇司,玉力道,0
海鵬,玉力道,0
朝乃若,玉力道,1
和歌乃山,玉力道,0
琴ノ若,玉力道,1
旭鷲山,玉力道,0
玉力道,五城楼,0
琴龍,五城楼,0
北勝力,五城楼,1
安美錦,五城楼,1
旭鷲山,五城楼,0
雅山,五城楼,0
闘牙,五城楼,0
春日王,五城楼,1
海鵬,五城楼,0
武雄山,五城楼,0
朝赤龍,五城楼,1
よう司,五城楼,1
安芸乃島,五城楼,1
十文字,五城楼,0
和歌乃山,五城楼,1
岩木山,十文字,1
蒼樹山,十文字,1
安美錦,十文字,0
和歌乃山,十文字,1
春日王,十文字,1
霜鳥,十文字,1
安芸乃島,十文字,1
朝赤龍,十文字,0
武雄山,十文字,0
闘牙,十文字,0
雅山,十文字,0
北勝力,十文字,1
朝乃若,十文字,0
五城楼,十文字,1
皇司,十文字,0
十文字,岩木山,0
春日王,岩木山,1
霜鳥,岩木山,1
玉力道,岩木山,0
雅山,岩木山,0
北勝力,岩木山,0
隆の鶴,岩木山,1
よう司,岩木山,0
朝赤龍,岩木山,1
蒼樹山,岩木山,0
朝乃若,岩木山,1
琴龍,岩木山,0
皇司,岩木山,0
安芸乃島,岩木山,1
海鵬,岩木山,1
和歌乃山,琴龍,0
五城楼,琴龍,1
武雄山,琴龍,1
霜鳥,琴龍,0
よう司,琴龍,1
蒼樹山,琴龍,0
皇司,琴龍,0
北勝力,琴龍,1
春日王,琴龍,1
