"","x","win_observ","win_theory"
"1","0",33,0.086181640625
"2","1",31,1.29272460937500
"3","2",67,9.04907226562502
"4","3",92,39.2126464843749
"5","4",202,117.637939453125
"6","5",278,258.803466796875
"7","6",355,431.339111328125
"8","7",356,554.578857421875
"9","8",522,554.578857421875
"10","9",359,431.339111328125
"11","10",245,258.803466796875
"12","11",124,117.637939453125
"13","12",64,39.2126464843749
"14","13",56,9.04907226562502
"15","14",27,1.292724609375
"16","15",13,0.086181640625
